Effective_Trading_Date,TICKER,mean_tangibility,mean_relevance,mean_llm_sentiment,headline_count
2023-01-03,AAPL,0.07500000000000001,0.125,-0.225,4
2023-01-03,DLR,0.0,0.8,0.0,1
2023-01-03,GOOGL,0.3,0.39999999999999997,0.19999999999999998,3
2023-01-03,MSFT,0.2,0.5,0.25,2
2023-01-03,NVDA,0.6333333333333333,0.8000000000000002,0.5333333333333333,3
2023-01-03,TSM,0.0,0.2,0.0,1
2023-01-04,AAPL,-0.3,-0.17142857142857146,-0.014285714285714282,7
2023-01-04,ADBE,-0.9,-0.9,0.05,2
2023-01-04,AI,0.5,0.5,0.0,1
2023-01-04,AMD,-0.9,-0.9,-0.05,2
2023-01-04,AMZN,0.06666666666666667,0.16666666666666666,1.850371707708594e-17,6
2023-01-04,AVGO,-0.8,-0.8,0.0,2
2023-01-04,CRM,0.2857142857142857,0.39999999999999997,-0.028571428571428574,7
2023-01-04,DLR,-0.020000000000000018,0.08,-0.24,5
2023-01-04,EQIX,-0.8500000000000001,-0.8500000000000001,0.0,2
2023-01-04,GOOGL,0.55,0.55,0.17500000000000002,4
2023-01-04,IBM,-0.8500000000000001,-0.8500000000000001,0.0,2
2023-01-04,INTC,-0.8500000000000001,-0.8500000000000001,0.0,2
2023-01-04,META,0.16666666666666666,0.2333333333333333,-0.016666666666666663,6
2023-01-04,MSFT,0.02500000000000001,0.3125,-0.13749999999999998,8
2023-01-04,MU,-0.8500000000000001,-0.8500000000000001,0.0,2
2023-01-04,NOW,-0.2,-0.04999999999999999,0.0,2
2023-01-04,NVDA,-0.95,-0.95,0.0,2
2023-01-04,ORCL,-0.95,-0.95,0.0,2
2023-01-04,PLTR,-0.95,-0.95,0.0,2
2023-01-04,QCOM,0.0,0.22499999999999998,0.15,4
2023-01-04,SNOW,-1.0,-1.0,0.0,1
2023-01-04,TSM,0.4,0.8,-0.5,1
2023-01-05,AAPL,-0.16666666666666666,0.033333333333333305,-0.06666666666666667,3
2023-01-05,ADBE,-0.9,-0.9,0.0,1
2023-01-05,AMD,-0.4666666666666666,-0.3666666666666667,0.13333333333333333,3
2023-01-05,AMZN,-0.042857142857142864,0.15714285714285717,-0.08571428571428572,7
2023-01-05,AVGO,-1.0,-1.0,0.0,1
2023-01-05,CRM,-0.15000000000000002,-0.15,-0.05,4
2023-01-05,CRWD,0.4,0.68,-0.38,5
2023-01-05,DLR,-0.033333333333333326,-0.16666666666666666,-0.06666666666666667,3
2023-01-05,GOOGL,-0.1,0.0,0.1,4
2023-01-05,IBM,-0.9,-0.9,0.0,1
2023-01-05,INTC,0.2,0.8,0.0,1
2023-01-05,META,0.20000000000000004,0.2833333333333333,-0.09999999999999998,6
2023-01-05,MSFT,0.175,0.4375,0.2,8
2023-01-05,MU,-0.9,-0.9,0.0,1
2023-01-05,NOW,0.1,0.19999999999999998,-0.024999999999999994,4
2023-01-05,NVDA,-0.9,-0.9,0.0,2
2023-01-05,ORCL,0.0,0.06666666666666665,0.3,3
2023-01-05,PLTR,-0.225,-0.17500000000000002,-0.225,4
2023-01-05,QCOM,-0.22000000000000003,0.08,0.04,5
2023-01-05,SNOW,0.5,0.2,-0.2,1
2023-01-06,ADBE,-0.8,-0.8,0.0,1
2023-01-06,AMZN,-0.4000000000000001,-0.3,-0.16666666666666666,3
2023-01-06,AVGO,-0.050000000000000044,-0.15000000000000002,-0.1,2
2023-01-06,CRM,-0.8,-0.8,0.0,1
2023-01-06,CRWD,0.3,0.7,0.4,1
2023-01-06,DLR,-0.9,-0.9,0.0,2
2023-01-06,EQIX,-0.8,-0.8,0.0,1
2023-01-06,GOOGL,0.45,0.65,-0.15,2
2023-01-06,IBM,-0.15000000000000002,-0.25,0.15,2
2023-01-06,INTC,-1.0,-1.0,0.0,1
2023-01-06,META,0.35,0.5,0.0,2
2023-01-06,MSFT,-0.25,0.09999999999999998,0.1,2
2023-01-06,MU,-0.050000000000000044,-0.15000000000000002,-0.1,2
2023-01-06,NOW,-0.8,-0.8,0.0,1
2023-01-06,NVDA,-0.8,-0.8,0.0,1
2023-01-06,ORCL,-0.9,-0.9,0.0,2
2023-01-06,PLTR,-0.15000000000000002,-0.10000000000000003,-0.15,2
2023-01-06,QCOM,-0.35,-0.04999999999999999,0.15,2
2023-01-06,SNOW,1.3877787807814457e-17,0.425,0.22499999999999998,4
2023-01-09,AAPL,-0.9,-0.9,0.0,1
2023-01-09,ADBE,-0.1,0.15999999999999998,0.08,5
2023-01-09,AMZN,-0.039999999999999994,0.019999999999999973,0.039999999999999994,5
2023-01-09,AVGO,-0.9,-0.9,0.0,1
2023-01-09,CRM,-0.033333333333333326,0.06666666666666665,-0.06666666666666667,3
2023-01-09,CRWD,0.5,0.6,0.3,1
2023-01-09,DDOG,0.5,0.6,-0.3,1
2023-01-09,DLR,-0.9,-0.9,0.0,1
2023-01-09,EQIX,-0.9,-0.9,0.0,1
2023-01-09,GOOGL,0.5,0.6,-0.3,1
2023-01-09,IBM,-0.9,-0.9,0.0,1
2023-01-09,INTC,0.06666666666666667,0.033333333333333326,0.06666666666666667,3
2023-01-09,META,0.07499999999999998,0.14999999999999997,0.024999999999999994,4
2023-01-09,MSFT,-0.01666666666666668,0.13333333333333333,9.25185853854297e-18,6
2023-01-09,MU,-0.05000000000000001,0.19999999999999998,0.0,4
2023-01-09,NOW,0.10000000000000002,0.19999999999999998,-0.3666666666666667,3
2023-01-09,NVDA,-0.9,-0.9,0.0,1
2023-01-09,ORCL,0.02500000000000001,0.2,0.275,4
2023-01-09,PLTR,-0.25,-0.04999999999999999,0.15,2
2023-01-09,QCOM,-0.9,-0.9,0.0,1
2023-01-09,SMCI,0.5,0.3,-0.1,2
2023-01-09,SNOW,-0.033333333333333326,0.033333333333333326,-0.06666666666666667,3
2023-01-10,AAPL,-0.45,-0.2,0.1,2
2023-01-10,ADBE,-0.9,-0.9,0.0,1
2023-01-10,AMD,-0.9,-0.9,0.0,1
2023-01-10,AMZN,0.18,0.32,0.12,5
2023-01-10,AVGO,-0.2333333333333333,0.06666666666666665,0.0,3
2023-01-10,DDOG,0.4,0.5,-0.04999999999999999,2
2023-01-10,EQIX,-0.9,-0.9,0.0,1
2023-01-10,INTC,-0.9,-0.9,0.0,1
2023-01-10,MSFT,0.04999999999999999,0.19999999999999998,0.07500000000000001,4
2023-01-10,MU,-0.9,-0.9,0.0,1
2023-01-10,NVDA,-0.9,-0.9,0.0,1
